phrase,normalized_phrase,category,severity,language,active
you can vote without any ID,you can vote without any id,id_requirement,4,en,true
bring a utility bill to vote,bring a utility bill to vote,id_requirement,4,en,true
bring military record to vote,bring military record to vote,id_requirement,4,en,true
voters need a registration code,voters need a registration code,id_requirement,4,en,true
you must register again today,you must register again today,id_requirement,4,en,true
you need a special QR code to vote,you need a special qr code to vote,id_requirement,4,en,true
you need a bank card to vote,you need a bank card to vote,id_requirement,4,en,true
results already decided,results already decided,results_misinformation,4,en,true
official results leaked,official results leaked,results_misinformation,4,en,true
winner already announced,winner already announced,results_misinformation,4,en,true
votes have already been counted,votes have already been counted,results_misinformation,4,en,true
election result is final before polls close,election result is final before polls close,results_misinformation,4,en,true
preliminary results are final,preliminary results are final,results_misinformation,4,en,true
exit polls are official results,exit polls are official results,results_misinformation,4,en,true
candidate X already won,candidate x already won,results_misinformation,4,en,true
candidate Y already lost,candidate y already lost,results_misinformation,4,en,true
the commission already chose the winner,the commission already chose the winner,results_misinformation,4,en,true
ballots are already counted,ballots are already counted,results_misinformation,4,en,true
results were published before voting,results were published before voting,results_misinformation,4,en,true
all diaspora votes were rejected,all diaspora votes were rejected,results_misinformation,4,en,true
all urban votes were cancelled,all urban votes were cancelled,results_misinformation,4,en,true
the final result is known,the final result is known,results_misinformation,4,en,true
secret results show the winner,secret results show the winner,results_misinformation,4,en,true
do not vote because the winner is known,do not vote because the winner is known,results_misinformation,4,en,true
official results are available on this private channel,official results are available on this private channel,results_misinformation,4,en,true
official election commission message,official election commission message,official_impersonation,5,en,true
CEC confirms election cancelled,cec confirms election cancelled,official_impersonation,5,en,true
central electoral commission says vote by SMS,central electoral commission says vote by sms,official_impersonation,5,en,true
official polling station notice,official polling station notice,official_impersonation,5,en,true
government says do not vote today,government says do not vote today,official_impersonation,5,en,true
police announcement polling stations closed,police announcement polling stations closed,official_impersonation,5,en,true
mayor office changed voting place,mayor office changed voting place,official_impersonation,5,en,true
official message voting postponed,official message voting postponed,official_impersonation,5,en,true
CEC link to vote online,cec link to vote online,official_impersonation,5,en,true
election authority asks for ID by SMS,election authority asks for id by sms,official_impersonation,5,en,true
official commission asks voters to register on this website,official commission asks voters to register on this website,official_impersonation,5,en,true
CEC announces new voting hours,cec announces new voting hours,official_impersonation,5,en,true
official election chatbot says vote online,official election chatbot says vote online,official_impersonation,5,en,true
the ministry confirms polling stations are closed,the ministry confirms polling stations are closed,official_impersonation,5,en,true
observers are banned,observers are banned,observer_misinformation,3,en,true
observers cannot enter polling stations,observers cannot enter polling stations,observer_misinformation,3,en,true
journalists are not allowed near polling stations,journalists are not allowed near polling stations,observer_misinformation,3,en,true
citizens cannot report violations,citizens cannot report violations,observer_misinformation,3,en,true
photos of violations are illegal,photos of violations are illegal,observer_misinformation,3,en,true
international observers left the country,international observers left the country,observer_misinformation,3,en,true
local observers are fake,local observers are fake,observer_misinformation,3,en,true
observers will cancel your vote,observers will cancel your vote,observer_misinformation,3,en,true
do not speak to observers,do not speak to observers,observer_misinformation,3,en,true
observers will record your vote,observers will record your vote,observer_misinformation,3,en,true
diaspora votes cancelled,diaspora votes cancelled,diaspora_voting,5,en,true
diaspora voters cannot vote,diaspora voters cannot vote,diaspora_voting,5,en,true
embassies are closed for voting,embassies are closed for voting,diaspora_voting,5,en,true
diaspora polling stations moved,diaspora polling stations moved,diaspora_voting,5,en,true
diaspora ballots are invalid,diaspora ballots are invalid,diaspora_voting,5,en,true
citizens abroad must vote online,citizens abroad must vote online,diaspora_voting,5,en,true
diaspora must vote by SMS,diaspora must vote by sms,diaspora_voting,5,en,true
only residents inside the country can vote,only residents inside the country can vote,diaspora_voting,5,en,true
diaspora voting ended yesterday,diaspora voting ended yesterday,diaspora_voting,5,en,true
diaspora voters need a special code,diaspora voters need a special code,diaspora_voting,5,en,true
diaspora votes will not be counted,diaspora votes will not be counted,diaspora_voting,5,en,true
all foreign polling stations are closed,all foreign polling stations are closed,diaspora_voting,5,en,true
voting will cause violence,voting will cause violence,fear_appeal,4,en,true
there will be attacks at polling stations,there will be attacks at polling stations,fear_appeal,4,en,true
polling stations are unsafe,polling stations are unsafe,fear_appeal,4,en,true
dangerous groups are waiting near voting centers,dangerous groups are waiting near voting centers,fear_appeal,4,en,true
do not bring your family to vote,do not bring your family to vote,fear_appeal,4,en,true
there will be arrests at polling stations,there will be arrests at polling stations,fear_appeal,4,en,true
voters will be photographed by police,voters will be photographed by police,fear_appeal,4,en,true
your name will be published if you vote,your name will be published if you vote,fear_appeal,4,en,true
armed groups control polling stations,armed groups control polling stations,fear_appeal,4,en,true
voting today is a trap,voting today is a trap,fear_appeal,4,en,true
sell your vote for cash,sell your vote for cash,vote_buying,5,en,true
get money for voting,get money for voting,vote_buying,5,en,true
bring proof of vote for payment,bring proof of vote for payment,vote_buying,5,en,true
take ballot photo to receive money,take ballot photo to receive money,vote_buying,5,en,true
payment after voting,payment after voting,vote_buying,5,en,true
free goods for voting,free goods for voting,vote_buying,5,en,true
receive voucher after voting,receive voucher after voting,vote_buying,5,en,true
vote for reward,vote for reward,vote_buying,5,en,true
send ballot photo for bonus,send ballot photo for bonus,vote_buying,5,en,true
your vote can be bought,your vote can be bought,vote_buying,5,en,true
alegerile au fost anulate,alegerile au fost anulate,voting_process,5,ro,true
votarea a fost anulata,votarea a fost anulata,voting_process,5,ro,true
scrutinul a fost anulat,scrutinul a fost anulat,voting_process,5,ro,true
votul a fost anulat,votul a fost anulat,voting_process,5,ro,true
alegerile nu mai au loc,alegerile nu mai au loc,voting_process,5,ro,true
procesul de votare a fost oprit,procesul de votare a fost oprit,voting_process,5,ro,true
votarea este suspendata,votarea este suspendata,voting_process,5,ro,true
votarea s a anulat,votarea s a anulat,voting_process,5,ro,true
alegerile sunt invalide,alegerile sunt invalide,voting_process,5,ro,true
comisia a anulat votarea,comisia a anulat votarea,voting_process,5,ro,true
nu mergeti deoarece votarea a fost anulata,nu mergeti deoarece votarea a fost anulata,voting_process,5,ro,true
sectiile nu mai primesc alegatori,sectiile nu mai primesc alegatori,voting_process,5,ro,true
procesul electoral este fals,procesul electoral este fals,voting_process,5,ro,true
autoritatile au oprit alegerile,autoritatile au oprit alegerile,voting_process,5,ro,true
votarea s a suspendat in toata tara,votarea s a suspendat in toata tara,voting_process,5,ro,true
alegerile au fost amanate,alegerile au fost amanate,voting_date,5,ro,true
votarea s a mutat pe maine,votarea s a mutat pe maine,voting_date,5,ro,true
data votarii s a schimbat,data votarii s a schimbat,voting_date,5,ro,true
ziua alegerilor s a schimbat,ziua alegerilor s a schimbat,voting_date,5,ro,true
mergeti la vot maine,mergeti la vot maine,voting_date,5,ro,true
votarea este maine nu astazi,votarea este maine nu astazi,voting_date,5,ro,true
alegerile au fost mutate saptamana viitoare,alegerile au fost mutate saptamana viitoare,voting_date,5,ro,true
votarea este intarziata,votarea este intarziata,voting_date,5,ro,true
astazi nu este ziua alegerilor,astazi nu este ziua alegerilor,voting_date,5,ro,true
ziua votului s a modificat,ziua votului s a modificat,voting_date,5,ro,true
votati in alta zi,votati in alta zi,voting_date,5,ro,true
programarea la vot s a schimbat,programarea la vot s a schimbat,voting_date,5,ro,true
data oficiala nu este astazi,data oficiala nu este astazi,voting_date,5,ro,true
scrutinul a fost reprogramat,scrutinul a fost reprogramat,voting_date,5,ro,true
sectiile se inchid la ora 18,sectiile se inchid la ora 18,voting_hours,4,ro,true
sectiile se inchid la 18:00,sectiile se inchid la 18 00,voting_hours,4,ro,true
votarea se termina la pranz,votarea se termina la pranz,voting_hours,4,ro,true
votarea se termina la ora 12,votarea se termina la ora 12,voting_hours,4,ro,true
sectiile se deschid dupa pranz,sectiile se deschid dupa pranz,voting_hours,4,ro,true
votarea incepe la ora 10,votarea incepe la ora 10,voting_hours,4,ro,true
programul de votare s a schimbat,programul de votare s a schimbat,voting_hours,4,ro,true
sectiile sunt deschise doar doua ore,sectiile sunt deschise doar doua ore,voting_hours,4,ro,true
puteti vota doar dimineata,puteti vota doar dimineata,voting_hours,4,ro,true
votarea se incheie mai devreme,votarea se incheie mai devreme,voting_hours,4,ro,true
sectiile se inchid inainte de 21:00,sectiile se inchid inainte de 21 00,voting_hours,4,ro,true
votul este doar seara,votul este doar seara,voting_hours,4,ro,true
orarul sectiilor a fost modificat,orarul sectiilor a fost modificat,voting_hours,4,ro,true
sectia de votare s a mutat,sectia de votare s a mutat,polling_location,5,ro,true
sectia ta de votare s a schimbat,sectia ta de votare s a schimbat,polling_location,5,ro,true
sectiile de votare sunt inchise,sectiile de votare sunt inchise,polling_location,5,ro,true
locul de votare s a schimbat,locul de votare s a schimbat,polling_location,5,ro,true
toate sectiile de votare sunt inchise,toate sectiile de votare sunt inchise,polling_location,5,ro,true
nu mergeti la sectia repartizata,nu mergeti la sectia repartizata,polling_location,5,ro,true
mergeti la alta sectie de votare,mergeti la alta sectie de votare,polling_location,5,ro,true
adresa sectiei este gresita,adresa sectiei este gresita,polling_location,5,ro,true
sectia de votare a fost relocata,sectia de votare a fost relocata,polling_location,5,ro,true
sectia din scoala este inchisa,sectia din scoala este inchisa,polling_location,5,ro,true
doar sectiile centrale sunt deschise,doar sectiile centrale sunt deschise,polling_location,5,ro,true
sectiile locale sunt inchise,sectiile locale sunt inchise,polling_location,5,ro,true
sectia de votare nu mai exista,sectia de votare nu mai exista,polling_location,5,ro,true
toti alegatorii trebuie sa voteze in capitala,toti alegatorii trebuie sa voteze in capitala,polling_location,5,ro,true
centrul de votare s a mutat,centrul de votare s a mutat,polling_location,5,ro,true
pot sa votez prin sms,pot sa votez prin sms,fake_voting_method,5,ro,true
pot vota prin sms,pot vota prin sms,fake_voting_method,5,ro,true
poți vota prin sms,poti vota prin sms,fake_voting_method,5,ro,true
se poate vota prin sms,se poate vota prin sms,fake_voting_method,5,ro,true
vot prin sms,vot prin sms,fake_voting_method,5,ro,true
votare prin sms,votare prin sms,fake_voting_method,5,ro,true
votez prin sms,votez prin sms,fake_voting_method,5,ro,true
votam prin sms,votam prin sms,fake_voting_method,5,ro,true
vot prin mesaj,vot prin mesaj,fake_voting_method,5,ro,true
trimite sms pentru vot,trimite sms pentru vot,fake_voting_method,5,ro,true
vot prin telefon,vot prin telefon,fake_voting_method,5,ro,true
se poate vota cu sms,se poate vota cu sms,fake_voting_method,5,ro,true
pot sa votez cu sms,pot sa votez cu sms,fake_voting_method,5,ro,true
poti vota cu sms,poti vota cu sms,fake_voting_method,5,ro,true
vot online,vot online,fake_voting_method,5,ro,true
pot vota online,pot vota online,fake_voting_method,5,ro,true
se poate vota online,se poate vota online,fake_voting_method,5,ro,true
vot prin email,vot prin email,fake_voting_method,5,ro,true
trimite votul prin email,trimite votul prin email,fake_voting_method,5,ro,true
voteaza pe telegram,voteaza pe telegram,fake_voting_method,5,ro,true
voteaza pe facebook,voteaza pe facebook,fake_voting_method,5,ro,true
scaneaza codul pentru vot,scaneaza codul pentru vot,fake_voting_method,5,ro,true
vot prin aplicatie mobila,vot prin aplicatie mobila,fake_voting_method,5,ro,true
voteaza de acasa prin sms,voteaza de acasa prin sms,fake_voting_method,5,ro,true
votul prin telefon este oficial,votul prin telefon este oficial,fake_voting_method,5,ro,true
vot pe internet,vot pe internet,fake_voting_method,5,ro,true
voteaza prin whatsapp,voteaza prin whatsapp,fake_voting_method,5,ro,true
trimite numarul buletinului prin sms,trimite numarul buletinului prin sms,fake_voting_method,5,ro,true
voteaza prin viber,voteaza prin viber,fake_voting_method,5,ro,true
nu mergeti la vot astazi,nu mergeti la vot astazi,voter_suppression,5,ro,true
stati acasa si nu votati,stati acasa si nu votati,voter_suppression,5,ro,true
votul tau nu conteaza,votul tau nu conteaza,voter_suppression,5,ro,true
nu are rost sa votezi,nu are rost sa votezi,voter_suppression,5,ro,true
nu merge la sectia de votare,nu merge la sectia de votare,voter_suppression,5,ro,true
doar membrii de partid pot vota,doar membrii de partid pot vota,voter_suppression,5,ro,true
studentii nu pot vota,studentii nu pot vota,voter_suppression,5,ro,true
tinerii nu pot vota astazi,tinerii nu pot vota astazi,voter_suppression,5,ro,true
diaspora nu trebuie sa voteze,diaspora nu trebuie sa voteze,voter_suppression,5,ro,true
alegatorii din aceasta regiune nu pot vota,alegatorii din aceasta regiune nu pot vota,voter_suppression,5,ro,true
nu riscati sa mergeti la vot,nu riscati sa mergeti la vot,voter_suppression,5,ro,true
politia verifica alegatorii,politia verifica alegatorii,voter_suppression,5,ro,true
alegatorii vor fi amendati,alegatorii vor fi amendati,voter_suppression,5,ro,true
angajatorul va sti cum ai votat,angajatorul va sti cum ai votat,voter_suppression,5,ro,true
autoritatile vor pedepsi alegatorii,autoritatile vor pedepsi alegatorii,voter_suppression,5,ro,true
votarea astazi este periculoasa,votarea astazi este periculoasa,voter_suppression,5,ro,true
evitati sectiile de votare,evitati sectiile de votare,voter_suppression,5,ro,true
votul tau va fi urmarit,votul tau va fi urmarit,voter_suppression,5,ro,true
nu vota daca nu ai invitatie,nu vota daca nu ai invitatie,voter_suppression,5,ro,true
buletinele completate cu pixul sunt invalide,buletinele completate cu pixul sunt invalide,ballot_confusion,4,ro,true
buletinele marcate cu pixul sunt invalide,buletinele marcate cu pixul sunt invalide,ballot_confusion,4,ro,true
buletinele marcate cu creionul sunt invalide,buletinele marcate cu creionul sunt invalide,ballot_confusion,4,ro,true
buletinele cu stampila sunt invalide,buletinele cu stampila sunt invalide,ballot_confusion,4,ro,true
buletinele indoite sunt invalide,buletinele indoite sunt invalide,ballot_confusion,4,ro,true
trebuie sa fotografiezi buletinul,trebuie sa fotografiezi buletinul,ballot_confusion,4,ro,true
fa poza la buletinul de vot,fa poza la buletinul de vot,ballot_confusion,4,ro,true
scrie numele pe buletin,scrie numele pe buletin,ballot_confusion,4,ro,true
semneaza buletinul de vot,semneaza buletinul de vot,ballot_confusion,4,ro,true
buletinele goale merg la candidatul x,buletinele goale merg la candidatul x,ballot_confusion,4,ro,true
cereti doua buletine,cereti doua buletine,ballot_confusion,4,ro,true
folositi doua stampile,folositi doua stampile,ballot_confusion,4,ro,true
taiati toti candidatii,taiati toti candidatii,ballot_confusion,4,ro,true
votul este valid doar cu pix albastru,votul este valid doar cu pix albastru,ballot_confusion,4,ro,true
votul este valid doar cu cerneala rosie,votul este valid doar cu cerneala rosie,ballot_confusion,4,ro,true
buletinele sunt deja marcate,buletinele sunt deja marcate,ballot_confusion,4,ro,true
buletinele sunt false,buletinele sunt false,ballot_confusion,4,ro,true
nu impaturi buletinul,nu impaturi buletinul,ballot_confusion,4,ro,true
impatureste buletinul de doua ori,impatureste buletinul de doua ori,ballot_confusion,4,ro,true
cartea de identitate nu este acceptata,cartea de identitate nu este acceptata,id_requirement,4,ro,true
doar pasaportul este acceptat,doar pasaportul este acceptat,id_requirement,4,ro,true
actele expirate nu sunt acceptate,actele expirate nu sunt acceptate,id_requirement,4,ro,true
studentii au nevoie de certificat special,studentii au nevoie de certificat special,id_requirement,4,ro,true
ai nevoie de certificat fiscal pentru vot,ai nevoie de certificat fiscal pentru vot,id_requirement,4,ro,true
ai nevoie de dovada angajarii pentru vot,ai nevoie de dovada angajarii pentru vot,id_requirement,4,ro,true
ai nevoie de certificat de vaccinare pentru vot,ai nevoie de certificat de vaccinare pentru vot,id_requirement,4,ro,true
ai nevoie de invitatie de partid pentru vot,ai nevoie de invitatie de partid pentru vot,id_requirement,4,ro,true
doar pasapoartele biometrice sunt acceptate,doar pasapoartele biometrice sunt acceptate,id_requirement,4,ro,true
buletinele vechi sunt invalide,buletinele vechi sunt invalide,id_requirement,4,ro,true
permisul de conducere este suficient pentru vot,permisul de conducere este suficient pentru vot,id_requirement,4,ro,true
poti vota fara act,poti vota fara act,id_requirement,4,ro,true
adu factura de utilitati pentru vot,adu factura de utilitati pentru vot,id_requirement,4,ro,true
ai nevoie de cod de inregistrare,ai nevoie de cod de inregistrare,id_requirement,4,ro,true
trebuie sa te inregistrezi din nou astazi,trebuie sa te inregistrezi din nou astazi,id_requirement,4,ro,true
ai nevoie de cod qr pentru vot,ai nevoie de cod qr pentru vot,id_requirement,4,ro,true
rezultatele sunt deja decise,rezultatele sunt deja decise,results_misinformation,4,ro,true
rezultatele oficiale au fost scurse,rezultatele oficiale au fost scurse,results_misinformation,4,ro,true
castigatorul a fost deja anuntat,castigatorul a fost deja anuntat,results_misinformation,4,ro,true
voturile au fost deja numarate,voturile au fost deja numarate,results_misinformation,4,ro,true
rezultatul este final inainte de inchiderea sectiilor,rezultatul este final inainte de inchiderea sectiilor,results_misinformation,4,ro,true
exit pollurile sunt rezultate oficiale,exit pollurile sunt rezultate oficiale,results_misinformation,4,ro,true
candidatul x a castigat deja,candidatul x a castigat deja,results_misinformation,4,ro,true
comisia a ales deja castigatorul,comisia a ales deja castigatorul,results_misinformation,4,ro,true
buletinele sunt deja numarate,buletinele sunt deja numarate,results_misinformation,4,ro,true
rezultatele au fost publicate inainte de vot,rezultatele au fost publicate inainte de vot,results_misinformation,4,ro,true
toate voturile diasporei au fost respinse,toate voturile diasporei au fost respinse,results_misinformation,4,ro,true
rezultatul final este cunoscut,rezultatul final este cunoscut,results_misinformation,4,ro,true
nu votati pentru ca invingatorul este cunoscut,nu votati pentru ca invingatorul este cunoscut,results_misinformation,4,ro,true
mesaj oficial de la comisia electorala,mesaj oficial de la comisia electorala,official_impersonation,5,ro,true
cec confirma anularea alegerilor,cec confirma anularea alegerilor,official_impersonation,5,ro,true
comisia electorala spune ca se voteaza prin sms,comisia electorala spune ca se voteaza prin sms,official_impersonation,5,ro,true
anunt oficial sectia este inchisa,anunt oficial sectia este inchisa,official_impersonation,5,ro,true
guvernul spune sa nu votati astazi,guvernul spune sa nu votati astazi,official_impersonation,5,ro,true
politia anunta ca sectiile sunt inchise,politia anunta ca sectiile sunt inchise,official_impersonation,5,ro,true
primaria a schimbat locul de votare,primaria a schimbat locul de votare,official_impersonation,5,ro,true
