"claim_text","normalized_claim","category","status","correction_text","official_source","official_source_url","language","region","published"
"Se poate vota prin SMS.","se poate vota prin sms","fake_voting_method","VERIFIED_FALSE","Votarea prin SMS nu este disponibilă. Folosiți doar procedurile oficiale de vot.","Comisia Electorală Centrală Demo","","ro","","true"
"Votarea online este disponibilă.","votarea online este disponibila","fake_voting_method","VERIFIED_FALSE","Votarea online nu este disponibilă pentru aceste alegeri demo.","Comisia Electorală Centrală Demo","","ro","","true"
"Alegerile au fost anulate.","alegerile au fost anulate","voting_process","VERIFIED_FALSE","Alegerile nu au fost anulate. Verificați doar canalele oficiale.","Comisia Electorală Centrală Demo","","ro","","true"
"Alegerile au fost amânate.","alegerile au fost amanate","voting_date","VERIFIED_FALSE","Alegerile nu au fost amânate. Orice modificare ar fi anunțată oficial.","Comisia Electorală Centrală Demo","","ro","","true"
"Secțiile de votare sunt închise.","sectiile de votare sunt inchise","polling_location","VERIFIED_FALSE","Secțiile de votare sunt deschise conform programului oficial, dacă nu există un anunț oficial contrar.","Comisia Electorală Centrală Demo","","ro","","true"
"Secțiile de votare sunt deschise între 07:00 și 21:00.","sectiile de votare sunt deschise intre 07 00 si 21 00","voting_hours","VERIFIED_TRUE","Corect. Secțiile de votare sunt deschise între 07:00 și 21:00.","Comisia Electorală Centrală Demo","","ro","","true"
"Votarea se termină la 18:00.","votarea se termina la 18 00","voting_hours","VERIFIED_FALSE","Votarea nu se termină la 18:00. Secțiile sunt deschise între 07:00 și 21:00.","Comisia Electorală Centrală Demo","","ro","","true"
"Rezultatele sunt deja oficiale înainte de închiderea secțiilor.","rezultatele sunt deja oficiale inainte de inchiderea sectiilor","results_misinformation","VERIFIED_FALSE","Rezultatele oficiale sunt publicate doar după procedurile legale de numărare și raportare.","Comisia Electorală Centrală Demo","","ro","","true"
"Voturile diasporei au fost anulate.","voturile diasporei au fost anulate","diaspora_voting","VERIFIED_FALSE","Informațiile despre votul în diasporă trebuie verificate prin surse oficiale.","Comisia Electorală Centrală Demo","","ro","","true"
"Можно голосовать по СМС.","можно голосовать по смс","fake_voting_method","VERIFIED_FALSE","Голосование по SMS недоступно. Используйте только официальные процедуры голосования.","Демо Центральная избирательная комиссия","","ru","","true"
"Могу ли я голосовать по СМС?","могу ли я голосовать по смс","fake_voting_method","VERIFIED_FALSE","Голосование по SMS недоступно. Используйте только официальные процедуры голосования.","Демо Центральная избирательная комиссия","","ru","","true"
"Онлайн голосование доступно.","онлайн голосование доступно","fake_voting_method","VERIFIED_FALSE","Онлайн-голосование недоступно для этих демо-выборов.","Демо Центральная избирательная комиссия","","ru","","true"
"Выборы отменены.","выборы отменены","voting_process","VERIFIED_FALSE","Выборы не отменены. Проверяйте только официальные каналы.","Демо Центральная избирательная комиссия","","ru","","true"
"Выборы перенесли.","выборы перенесли","voting_date","VERIFIED_FALSE","Выборы не перенесены. Любое изменение будет объявлено официально.","Демо Центральная избирательная комиссия","","ru","","true"
"Избирательные участки закрыты.","избирательные участки закрыты","polling_location","VERIFIED_FALSE","Избирательные участки открыты согласно официальному расписанию, если нет официального объявления об изменении.","Демо Центральная избирательная комиссия","","ru","","true"
"Избирательные участки открыты с 07:00 до 21:00.","избирательные участки открыты с 07 00 до 21 00","voting_hours","VERIFIED_TRUE","Верно. Избирательные участки открыты с 07:00 до 21:00.","Демо Центральная избирательная комиссия","","ru","","true"
"Голосование заканчивается в 18:00.","голосование заканчивается в 18 00","voting_hours","VERIFIED_FALSE","Голосование не заканчивается в 18:00. Участки открыты с 07:00 до 21:00.","Демо Центральная избирательная комиссия","","ru","","true"
"Результаты уже официальные до закрытия участков.","результаты уже официальные до закрытия участков","results_misinformation","VERIFIED_FALSE","Официальные результаты публикуются только после законных процедур подсчета и отчетности.","Демо Центральная избирательная комиссия","","ru","","true"
"Голоса диаспоры отменены.","голоса диаспоры отменены","diaspora_voting","VERIFIED_FALSE","Информацию о голосовании диаспоры следует проверять через официальные источники.","Демо Центральная избирательная комиссия","","ru","","true"
